dateid,day,month,year
1582,Thursday ,January  ,2025
800,Thursday ,January  ,2025
1451,Thursday ,January  ,2025
816,Thursday ,January  ,2025
813,Thursday ,January  ,2025
2245,Thursday ,January  ,2025
1829,Thursday ,January  ,2025
20,Thursday ,January  ,2025
2116,Thursday ,January  ,2025
1834,Thursday ,January  ,2025
783,Thursday ,January  ,2025
654,Thursday ,January  ,2025
1031,Thursday ,January  ,2025
1637,Thursday ,January  ,2025
980,Thursday ,January  ,2025
1709,Thursday ,January  ,2025
1470,Thursday ,January  ,2025
310,Thursday ,January  ,2025
1846,Thursday ,January  ,2025
2494,Thursday ,January  ,2025
1982,Thursday ,January  ,2025
2419,Thursday ,January  ,2025
1108,Thursday ,January  ,2025
2109,Thursday ,January  ,2025
818,Thursday ,January  ,2025
348,Thursday ,January  ,2025
155,Thursday ,January  ,2025
1913,Thursday ,January  ,2025
1321,Thursday ,January  ,2025
658,Thursday ,January  ,2025
633,Thursday ,January  ,2025
999,Thursday ,January  ,2025
519,Thursday ,January  ,2025
2354,Thursday ,January  ,2025
2235,Thursday ,January  ,2025
714,Thursday ,January  ,2025
620,Thursday ,January  ,2025
2485,Thursday ,January  ,2025
2401,Thursday ,January  ,2025
125,Thursday ,January  ,2025
1778,Thursday ,January  ,2025
989,Thursday ,January  ,2025
907,Thursday ,January  ,2025
1629,Thursday ,January  ,2025
976,Thursday ,January  ,2025
1144,Thursday ,January  ,2025
1920,Thursday ,January  ,2025
2141,Thursday ,January  ,2025
1716,Thursday ,January  ,2025
1731,Thursday ,January  ,2025
1885,Thursday ,January  ,2025
222,Thursday ,January  ,2025
719,Thursday ,January  ,2025
2174,Thursday ,January  ,2025
1264,Thursday ,January  ,2025
2038,Thursday ,January  ,2025
640,Thursday ,January  ,2025
49,Thursday ,January  ,2025
1499,Thursday ,January  ,2025
445,Thursday ,January  ,2025
1903,Thursday ,January  ,2025
660,Thursday ,January  ,2025
583,Thursday ,January  ,2025
2047,Thursday ,January  ,2025
993,Thursday ,January  ,2025
2361,Thursday ,January  ,2025
834,Thursday ,January  ,2025
755,Thursday ,January  ,2025
739,Thursday ,January  ,2025
391,Thursday ,January  ,2025
1033,Thursday ,January  ,2025
1748,Thursday ,January  ,2025
128,Thursday ,January  ,2025
2143,Thursday ,January  ,2025
602,Thursday ,January  ,2025
1421,Thursday ,January  ,2025
352,Thursday ,January  ,2025
3,Thursday ,January  ,2025
2399,Thursday ,January  ,2025
1919,Thursday ,January  ,2025
1492,Thursday ,January  ,2025
631,Thursday ,January  ,2025
1419,Thursday ,January  ,2025
1146,Thursday ,January  ,2025
1425,Thursday ,January  ,2025
2400,Thursday ,January  ,2025
2049,Thursday ,January  ,2025
1496,Thursday ,January  ,2025
553,Thursday ,January  ,2025
839,Thursday ,January  ,2025
2328,Thursday ,January  ,2025
2557,Thursday ,January  ,2025
1999,Thursday ,January  ,2025
1866,Thursday ,January  ,2025
1868,Thursday ,January  ,2025
2562,Thursday ,January  ,2025
1742,Thursday ,January  ,2025
2076,Thursday ,January  ,2025
288,Thursday ,January  ,2025
1469,Thursday ,January  ,2025
1169,Thursday ,January  ,2025
1487,Thursday ,January  ,2025
517,Thursday ,January  ,2025
1282,Thursday ,January  ,2025
311,Thursday ,January  ,2025
894,Thursday ,January  ,2025
1008,Thursday ,January  ,2025
756,Thursday ,January  ,2025
2580,Thursday ,January  ,2025
995,Thursday ,January  ,2025
431,Thursday ,January  ,2025
1150,Thursday ,January  ,2025
641,Thursday ,January  ,2025
1558,Thursday ,January  ,2025
1136,Thursday ,January  ,2025
204,Thursday ,January  ,2025
2307,Thursday ,January  ,2025
774,Thursday ,January  ,2025
1623,Thursday ,January  ,2025
2501,Thursday ,January  ,2025
1859,Thursday ,January  ,2025
2508,Thursday ,January  ,2025
830,Thursday ,January  ,2025
1995,Thursday ,January  ,2025
1803,Thursday ,January  ,2025
987,Thursday ,January  ,2025
1972,Thursday ,January  ,2025
2474,Thursday ,January  ,2025
1262,Thursday ,January  ,2025
2251,Thursday ,January  ,2025
1661,Thursday ,January  ,2025
2149,Thursday ,January  ,2025
176,Thursday ,January  ,2025
1677,Thursday ,January  ,2025
689,Thursday ,January  ,2025
2254,Thursday ,January  ,2025
1350,Thursday ,January  ,2025
2412,Thursday ,January  ,2025
1776,Thursday ,January  ,2025
912,Thursday ,January  ,2025
1922,Thursday ,January  ,2025
1095,Thursday ,January  ,2025
2297,Thursday ,January  ,2025
1925,Thursday ,January  ,2025
1675,Thursday ,January  ,2025
1318,Thursday ,January  ,2025
197,Thursday ,January  ,2025
1076,Thursday ,January  ,2025
2259,Thursday ,January  ,2025
119,Thursday ,January  ,2025
1663,Thursday ,January  ,2025
1680,Thursday ,January  ,2025
2388,Thursday ,January  ,2025
750,Thursday ,January  ,2025
321,Thursday ,January  ,2025
1723,Thursday ,January  ,2025
707,Thursday ,January  ,2025
2292,Thursday ,January  ,2025
858,Thursday ,January  ,2025
2507,Thursday ,January  ,2025
60,Thursday ,January  ,2025
2227,Thursday ,January  ,2025
1856,Thursday ,January  ,2025
2083,Thursday ,January  ,2025
1194,Thursday ,January  ,2025
711,Thursday ,January  ,2025
1463,Thursday ,January  ,2025
1066,Thursday ,January  ,2025
2317,Thursday ,January  ,2025
202,Thursday ,January  ,2025
1204,Thursday ,January  ,2025
1775,Thursday ,January  ,2025
2549,Thursday ,January  ,2025
554,Thursday ,January  ,2025
486,Thursday ,January  ,2025
1222,Thursday ,January  ,2025
2458,Thursday ,January  ,2025
26,Thursday ,January  ,2025
346,Thursday ,January  ,2025
743,Thursday ,January  ,2025
452,Thursday ,January  ,2025
936,Thursday ,January  ,2025
2103,Thursday ,January  ,2025
2596,Thursday ,January  ,2025
1634,Thursday ,January  ,2025
721,Thursday ,January  ,2025
2393,Thursday ,January  ,2025
1197,Thursday ,January  ,2025
179,Thursday ,January  ,2025
2106,Thursday ,January  ,2025
1863,Thursday ,January  ,2025
1503,Thursday ,January  ,2025
596,Thursday ,January  ,2025
1598,Thursday ,January  ,2025
1666,Thursday ,January  ,2025
941,Thursday ,January  ,2025
1367,Thursday ,January  ,2025
1349,Thursday ,January  ,2025
1980,Thursday ,January  ,2025
